properties.level,properties.speed,properties.day_of_week,properties.weekday_weekend,X,Y,MaxInjuryS,LightCondi,Commercial,NumberOfFa,NumberOfIn,NumberOfOt,NumberOfSe,NumberOfVe,Intersecti,interstate_is_odd,year,day_sin,day_cos,month_sin,month_cos,hour_sin,hour_cos,minute_sin,minute_cos,curve,grade,WET,DRY,UNKNOWN,FLOODED WATER,SNOW/ICE,SLUSH,two_way,divided,protected_medium,CLOUDY,CLEAR,RAIN,SLEET/HAIL/FREEZING RAIN,SNOW,CollisionT,CrashType,TrafficCon,CountyName,CityTownNa,properties.delay,properties.length,Predicted Delay,Predicted Length
1.0,37.94720161111111,0,0,-73.9419260823669,41.5297278904571,0,3,0,0,0,0,0,1,0,0,2022,-0.2993631229733582,-0.9541392564000488,0.4999999999999999,0.8660254037844387,0.9790840876823228,0.2034560130526337,-0.5076658003388407,0.8615540813938056,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,other,collision with guide rail,none,dutchess,fishkill,4.45,6.538065662,2.530899999999998,3.8371628996070593
1.0,42.023403388888894,4,0,-73.8313668573353,42.6944220070926,0,0,0,0,0,0,0,2,0,0,2022,-0.9377521321470804,0.3473052528448203,0.8660254037844386,0.5000000000000001,-0.6310879443260528,-0.7757112907044198,0.97142989326471,-0.2373266998711148,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,rear end,collision with motor vehicle,none,albany,albany,2.4,5.259284144,2.376983333333313,4.303155110088992
1.0,39.84860061111112,1,0,-76.1424959894385,43.0427110134928,0,2,0,0,0,0,0,2,2,0,2021,-0.9987165071710528,-0.0506491688387135,-0.5000000000000004,0.8660254037844384,0.9976687691905392,-0.0682424133646708,0.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,overtaking,collision with motor vehicle,traffic signal,onondaga,syracuse,1.0,1.944269859,1.3254000000000117,2.148525070007019
1.0,37.26369216666667,4,0,-73.742382142682,42.6699295373661,0,0,0,0,0,0,0,1,0,1,2022,-0.9377521321470804,0.3473052528448203,0.8660254037844386,0.5000000000000001,-0.6310879443260528,-0.7757112907044198,0.7865515558026426,-0.6175246149461918,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,other,collision with guide rail,none,albany,albany,1.2,1.748537994,1.5126666666666877,2.579710562553039
3.0,18.11300027777778,4,0,-73.9955214563735,41.5193549066556,0,3,0,0,0,0,0,3,0,0,2022,-0.72479278722912,0.6889669190756865,0.4999999999999999,-0.8660254037844387,0.8878852184023752,0.4600650377311522,0.847734427889671,-0.5304209081197424,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,other,collision with motor vehicle,no passing zone,dutchess,fishkill,1.5333333333333334,0.691585923,1.6780666666666784,0.7578737812799997
1.0,35.66676555555556,4,0,-76.1797711096833,42.6107147360236,0,0,0,0,0,0,0,1,0,1,2022,-0.9377521321470804,0.3473052528448203,0.8660254037844386,0.5000000000000001,0.8169698930104421,-0.5766803221148671,-0.5076658003388407,0.8615540813938056,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,other,collision with sign post,none,cortland,cortland,1.2166666666666666,1.592573873,2.132883333333329,3.38630169434601
1.0,45.39124083333334,4,0,-73.7657903047378,42.7572863315113,0,3,0,0,0,0,0,1,0,1,2022,0.72479278722912,0.6889669190756866,0.8660254037844386,0.5000000000000001,-0.979084087682323,0.2034560130526333,-0.5528000653611931,-0.8333139190825152,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,other,collision with guide rail,none,albany,colonie,1.2333333333333334,3.180176778,1.550083333333333,3.377335932186999
1.0,38.39458961111111,4,0,-77.7223446887297,43.1311001553201,0,2,0,0,0,0,0,1,1,0,2022,0.72479278722912,0.6889669190756866,0.8660254037844386,0.5000000000000001,0.5195839500354336,0.8544194045464886,0.0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,other,collision with guiderail end,none,monroe,gates,1.05,1.773392834,1.4351499999999908,2.292575023453015
1.0,38.680420833333336,4,0,-73.7150084981891,42.68919083233,1,0,0,0,1,1,0,2,0,1,2022,-0.9377521321470804,0.3473052528448203,0.8660254037844386,0.5000000000000001,-0.6310879443260528,-0.7757112907044198,0.2113826236296243,0.9774033898178668,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,overtaking,collision with motor vehicle,none,albany,menands,1.1,1.903259373,1.0415333333333276,1.904991755348024
1.0,34.16304477777778,4,0,-73.7241219315392,42.678347720155,0,0,0,0,0,0,0,1,0,0,2022,-0.9377521321470804,0.3473052528448203,0.8660254037844386,0.5000000000000001,0.1361666490962471,-0.9906859460363306,0.6783118362696161,0.7347741508630673,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,other,collision with sign post,none,albany,menands,3.083333333333333,4.053824404,3.487816666666645,4.593342202170001
