properties.level,properties.speed,properties.day_of_week,properties.weekday_weekend,X,Y,MaxInjuryS,LightCondi,Commercial,NumberOfFa,NumberOfIn,NumberOfOt,NumberOfSe,NumberOfVe,Intersecti,interstate_is_odd,year,day_sin,day_cos,month_sin,month_cos,hour_sin,hour_cos,minute_sin,minute_cos,curve,grade,WET,DRY,UNKNOWN,FLOODED WATER,SNOW/ICE,SLUSH,two_way,divided,protected_medium,CLOUDY,CLEAR,RAIN,SLEET/HAIL/FREEZING RAIN,SNOW,CollisionT,CrashType,TrafficCon,CountyName,CityTownNa,properties.delay,properties.length,Predicted Delay,Predicted Length
1.0,41.13484111111112,0,0,-78.9651988945509,43.0122012556873,0,2,0,0,0,0,0,1,0,0,2022,-0.5712682150947924,0.8207634412072763,1.0,6.123233995736766e-17,0.9790840876823228,0.2034560130526337,0.921311977870413,0.3888241754733207,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,other,collision with other barrier,none,erie,grand island,1.0,1.966017844,8.85,2.5154755069333334
1.0,45.13647822222222,5,1,-73.7164681742073,41.5454415688877,0,3,1,0,0,0,0,1,0,0,2022,-0.3943558551133187,0.9189578116202306,0.4999999999999999,0.8660254037844387,0.9976687691905392,-0.0682424133646708,0.4610925014493257,-0.8873520750565717,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,other,collision with earth element rock cut ditch,none,dutchess,east fishkill,1.2833333333333334,2.973881606,2.0133333333333336,4.177932905066666
1.0,39.14023627777778,5,1,-73.8305719908698,42.6940702352808,0,0,0,0,0,0,0,1,0,0,2022,0.6513724827222223,-0.758758122692791,1.0,6.123233995736766e-17,-0.9422609221188204,-0.3348796121709864,0.7164567402983153,-0.6976315211349846,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,other,collision with other barrier,none,albany,albany,1.0166666666666666,1.803218642,1.4800000000000002,3.1196966673333337
2.0,25.488688555555555,2,0,-78.7630748572547,42.9518127801564,0,0,0,0,0,0,0,2,0,0,2022,0.9680771188662044,-0.2506525322587204,0.8660254037844386,0.5000000000000001,-0.1361666490962464,-0.9906859460363308,0.97142989326471,-0.2373266998711148,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,overtaking,collision with motor vehicle,none,erie,amherst,1.3833333333333333,1.026504892,1.5844444444444443,2.716923985133333
1.0,35.3995755,1,0,-76.1809679026956,42.613797351003,0,0,0,0,0,0,0,2,0,1,2022,-0.651372482722222,-0.7587581226927911,0.8660254037844387,-0.4999999999999998,0.9976687691905392,-0.0682424133646708,-0.8477344278896709,-0.5304209081197426,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,rear end,collision with motor vehicle,none,cortland,cortlandville,1.0,1.260761759,1.4033333333333333,2.3483267079333334
4.0,3.423760944444445,4,0,-73.9319582186732,40.832358160156,2,0,1,0,2,2,0,2,0,1,2022,0.8486442574947509,0.5289640103269624,-0.8660254037844385,-0.5000000000000004,0.8169698930104421,-0.5766803221148671,0.7865515558026426,-0.6175246149461918,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,overtaking,collision with motor vehicle,none,bronx,bronx,1.8333333333333333,0.116817748,1.9933333333333332,0.46582112633333334
2.0,32.91408661111111,4,0,-73.7241219315392,42.678347720155,0,0,0,0,0,0,0,1,0,1,2022,-0.9377521321470804,0.3473052528448203,0.8660254037844386,0.5000000000000001,0.1361666490962471,-0.9906859460363306,0.6783118362696161,0.7347741508630673,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,other,collision with sign post,none,albany,menands,1.9,2.186604549,1.5466666666666664,2.2325445782666673
2.0,30.180048833333338,4,0,-78.9119459661451,42.9730863215493,0,3,0,0,0,0,0,1,0,0,2022,0.72479278722912,0.6889669190756866,0.8660254037844386,0.5000000000000001,0.8878852184023752,0.4600650377311522,-0.2113826236296253,0.9774033898178665,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,other,collision with other barrier,none,erie,tonawanda,2.4166666666666665,2.432667465,1.9977777777777774,3.015596312466667
1.0,39.8734555,6,1,-76.0008732024844,43.8859837264277,0,0,0,0,0,0,0,1,1,1,2022,-0.9987165071710528,-0.0506491688387135,0.4999999999999999,0.8660254037844387,0.631087944326053,-0.7757112907044197,-0.1590634960190718,-0.9872683547213446,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,other,collision with snow embankment,none,jefferson,adams,3.3833333333333333,5.2934595490000005,2.4144444444444444,4.048770586533334
2.0,21.729386611111117,1,0,-76.1425660001385,43.0443730686081,1,0,0,0,2,2,0,2,2,0,2022,-0.9377521321470804,0.3473052528448203,0.4999999999999999,0.8660254037844387,-0.3984010898462415,-0.9172113015054528,0.9911528310040072,-0.1327255272837218,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,overtaking,collision with motor vehicle,none,onondaga,syracuse,1.65,1.005378278,1.2355555555555555,2.4013917913333334
1.0,43.76945933333333,4,0,-78.7663929978967,42.9591270455858,0,0,0,0,0,0,0,2,0,0,2022,-0.4853019625310808,-0.8743466161445822,0.8660254037844386,0.5000000000000001,0.3984010898462414,-0.917211301505453,-0.9996456111234524,-0.0266205214377751,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,rear end,collision with motor vehicle,none,erie,amherst,1.8166666666666669,4.64785508,1.4133333333333333,2.283248451866667
2.0,29.813439222222225,1,0,-73.8646366205992,42.7114184886693,0,0,0,0,0,0,0,2,0,1,2022,-0.651372482722222,-0.7587581226927911,0.8660254037844387,-0.4999999999999998,0.9422609221188204,-0.3348796121709861,-0.752570769856139,0.6585113790650381,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,overtaking,collision with motor vehicle,none,albany,albany,2.1666666666666665,2.061087607,1.4355555555555555,2.3238446905333334
1.0,40.75580405555556,4,0,-73.7620234780376,42.7648465293339,0,0,0,0,0,0,0,1,0,1,2022,0.72479278722912,0.6889669190756866,0.8660254037844386,0.5000000000000001,0.631087944326053,-0.7757112907044197,-0.5528000653611931,-0.8333139190825152,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,other,collision with guide rail,none,albany,colonie,1.7,3.180176778,1.3822222222222225,2.5901228763999997
2.0,21.59268472222223,6,1,-73.7957490166388,40.9001310216042,0,2,0,0,0,0,0,2,2,1,2022,0.9884683243281114,0.1514277775045767,-0.8660254037844385,-0.5000000000000004,-0.5195839500354336,0.8544194045464886,-0.9407002666710332,-0.3392388661180305,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,right angle,collision with motor vehicle,traffic signal,westchester,new rochelle,1.3,0.722033102,8.145555555555555,1.1875228304666667
1.0,37.68622527777778,1,0,-73.8646366205992,42.7114184886693,0,0,0,0,0,0,0,2,0,1,2022,-0.651372482722222,-0.7587581226927911,0.8660254037844387,-0.4999999999999998,0.9422609221188204,-0.3348796121709861,-0.752570769856139,0.6585113790650381,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,overtaking,collision with motor vehicle,none,albany,albany,2.6,4.038290129,1.437777777777778,2.415476200666667
1.0,47.740027833333336,4,0,-76.8026903997942,42.1335471668173,0,0,0,0,0,0,0,1,0,0,2022,-0.9377521321470804,0.3473052528448203,0.8660254037844386,0.5000000000000001,0.9422609221188204,-0.3348796121709861,0.8993121301712192,-0.4373073204588553,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,other,collision with guide rail,none,chemung,horseheads,1.0166666666666666,2.759508611,1.72,3.1387934693999995
